32	 0.415252
32	 0.00227774
32	 0.0239497
32	 0.00219591
32	 0.0436383
32	 0.00217741
64	 0.629684
64	 0.00187405
64	 0.0278187
64	 0.00163292
64	 0.0448741
64	 0.00167821
128	 1.18668
128	 0.0022586
128	 0.0362211
128	 0.00176269
128	 0.0544976
128	 0.00171829
256	 2.55579
256	 0.00286292
256	 0.0361726
256	 0.002144
256	 0.0651221
256	 0.00171773
512	 5.20884
512	 0.00374337
512	 0.0449583
512	 0.00170917
512	 0.0728078
512	 0.00176204
1024	 10.5632
1024	 0.00562353
1024	 0.0446691
1024	 0.00185663
1024	 0.0818401
1024	 0.00190971
2048	 21.0304
2048	 0.00886629
2048	 0.0534639
2048	 0.00170884
2048	 0.0894396
2048	 0.00200496
4096	 42.4224
4096	 0.0154216
4096	 0.0650016
4096	 0.00179876
4096	 0.102379
4096	 0.00176731
