32	 0.173242
32	 0.00220644
32	 0.0241596
32	 0.00215031
32	 0.0348707
32	 0.002129
64	 0.126346
64	 0.00182726
64	 0.01825
64	 0.00168979
64	 0.0375227
64	 0.00165578
128	 0.126622
128	 0.00173125
128	 0.0273236
128	 0.00172915
128	 0.0460955
128	 0.00168407
256	 0.126633
256	 0.00204739
256	 0.0276608
256	 0.00182817
256	 0.053496
256	 0.00166041
512	 0.126358
512	 0.00181424
512	 0.0373235
512	 0.00168708
512	 0.0657512
512	 0.00181935
1024	 0.125432
1024	 0.00182312
1024	 0.0364434
1024	 0.00184886
1024	 0.0731544
1024	 0.00162892
2048	 0.127541
2048	 0.00172383
2048	 0.0462801
2048	 0.00170707
2048	 0.0819888
2048	 0.00196651
4096	 0.127083
4096	 0.001845
4096	 0.0200977
4096	 0.00170965
4096	 0.0924153
4096	 0.00167732
